priority,kind,name,stem,role,check,occurrences,files,used_in,status,notes
A,brand,DRAVINEX,DRAVINEX,competitor,"Trademark registers (USPTO and major markets), FDA drug name databases, web search",2,2,README.md; landscape/competitors.json,verified,Reviewed 2026-09-24
A,brand,KAVROSTA,KAVROSTA,competitor,"Trademark registers (USPTO and major markets), FDA drug name databases, web search",2,2,README.md; landscape/competitors.json,verified,Reviewed 2026-09-24
A,brand,LUMIRETH,LUMIRETH,competitor,"Trademark registers (USPTO and major markets), FDA drug name databases, web search",4,4,README.md; landscape/competitors.json; test-design/scenarios/hcp-inbound.json; test-design/scenarios/hcp-outbound.json,verified,Reviewed 2026-09-24
A,brand,NOVITHRA,NOVITHRA,competitor,"Trademark registers (USPTO and major markets), FDA drug name databases, web search",2,2,README.md; landscape/competitors.json,verified,Reviewed 2026-09-24
A,brand,ORRELIX,ORRELIX,competitor,"Trademark registers (USPTO and major markets), FDA drug name databases, web search",9,7,README.md; landscape/competitors.json; test-design/ps-known-gaps.json; test-design/scenarios/hcp-inbound.json; test-design/scenarios/hcp-outbound.json; test-design/scenarios/ps-conversations.json; ...,verified,Reviewed 2026-09-24
A,brand,QUORVANTA,QUORVANTA,product,"Trademark registers (USPTO and major markets), FDA drug name databases, web search",897,55,README.md; access/how-to-prescribe.md; access/specialty-pharmacy-network.json; access/start-form.json; access/start-form.md; channel/shipments.json; ...,verified,Reviewed 2026-09-24
A,brand,ZELMORVA,ZELMORVA,competitor,"Trademark registers (USPTO and major markets), FDA drug name databases, web search",2,2,README.md; landscape/competitors.json,verified,Reviewed 2026-09-24
A,nonproprietary,dalvotinib,dalvotinib,competitor,"WHO INN and USAN lists, chemical name databases, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,nonproprietary,dimethyl tavorate,dimethyl tavorate,product predecessor,"WHO INN and USAN lists, chemical name databases, web search",344,32,README.md; access/start-form.json; access/start-form.md; claims/claims-library.json; claims/references.json; claims/references.md; ...,verified,Reviewed 2026-09-24
A,nonproprietary,hydroxypropyl glavorimide,hydroxypropyl glavorimide,inactive metabolite,"WHO INN and USAN lists, chemical name databases, web search",7,7,README.md; claims/references.json; claims/references.md; label/label-spl.xml; label/label.md; medical-information/srds.json; ...,verified,Reviewed 2026-09-24
A,nonproprietary,monomethyl tavorate,monomethyl tavorate,active metabolite,"WHO INN and USAN lists, chemical name databases, web search",22,11,README.md; claims/claims-library.json; claims/references.json; claims/references.md; crm/approved-emails.json; label/label-spl.xml; ...,verified,Reviewed 2026-09-24
A,nonproprietary,ostracladine,ostracladine,competitor,"WHO INN and USAN lists, chemical name databases, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,nonproprietary,pentarimod,pentarimod,competitor,"WHO INN and USAN lists, chemical name databases, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,nonproprietary,rekavrin zeta-1b,rekavrin zeta-1b,competitor,"WHO INN and USAN lists, chemical name databases, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,nonproprietary,soriximel tavorate,soriximel tavorate,product,"WHO INN and USAN lists, chemical name databases, web search",131,24,README.md; channel/shipments.json; claims/claims-library.json; claims/references.json; claims/references.md; crm/approved-emails.json; ...,verified,Reviewed 2026-09-24
A,nonproprietary,sulvaramer acetate,sulvaramer acetate,competitor,"WHO INN and USAN lists, chemical name databases, web search",2,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,nonproprietary,tenlisumab,tenlisumab,competitor,"WHO INN and USAN lists, chemical name databases, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,company,Arden Quay Biosciences,Arden Quay Biosciences,manufacturer,"Company registries, trademark registers, web search",153,36,README.md; access/start-form.json; access/start-form.md; channel/shipments.json; channel/trading-partners.json; claims/claims-library.json; ...,verified,Reviewed 2026-09-24
A,company,Carrow Point Pharma,Carrow Point Pharma,competitor company,"Company registries, trademark registers, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,company,Hollin & Marsh Therapeutics,Hollin & Marsh Therapeutics,competitor company,"Company registries, trademark registers, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,company,Ondine Neuroscience,Ondine Neuroscience,competitor company,"Company registries, trademark registers, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,company,Pellmont Pharma,Pellmont Pharma,competitor company,"Company registries, trademark registers, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,company,Stellbrook Pharmaceuticals,Stellbrook Pharmaceuticals,competitor company,"Company registries, trademark registers, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,company,Veyla Biologics,Veyla Biologics,competitor company,"Company registries, trademark registers, web search",1,1,landscape/competitors.json,verified,Reviewed 2026-09-24
A,program,Arden Quay Patient Assistance Foundation,Arden Quay Patient Assistance Foundation,patient assistance foundation,"Trademark registers, web search (patient support programs, foundations, registries)",25,12,README.md; claims/claims-library.json; claims/references.json; claims/references.md; patient-services/agent-scripts.md; patient-services/bi-letters.md; ...,verified,Reviewed 2026-09-24
A,program,QUORVANTA Pregnancy Registry,QUORVANTA Pregnancy Registry,pregnancy exposure registry,"Trademark registers, web search (patient support programs, foundations, registries)",1,1,label/patient-information.md,verified,Reviewed 2026-09-24
A,program,QuorvantaConnect,QuorvantaConnect,patient support program,"Trademark registers, web search (patient support programs, foundations, registries)",230,34,README.md; access/how-to-prescribe.md; access/specialty-pharmacy-network.json; access/start-form.json; access/start-form.md; claims/claims-library.json; ...,verified,Reviewed 2026-09-24
A,ticker,AQBX,AQBX,stock ticker in the press releases (Nasdaq),Stock exchange symbol lookup,3,3,press/2022-10-18-phase-3-topline.md; press/2024-01-22-fda-approval.md; press/2024-02-26-commercial-availability.md,verified,Reviewed 2026-09-24
A,trial,BRIGHTWATER,BRIGHTWATER,study name,"Clinical trial registries (study acronyms), web search",19,8,README.md; claims/references.json; claims/references.md; medical-information/srds.json; medical-information/srds.md; press/2024-01-22-fda-approval.md; ...,verified,Reviewed 2026-09-24
A,trial,CASTLEREAGH,CASTLEREAGH,study name,"Clinical trial registries (study acronyms), web search",23,10,README.md; claims/references.json; claims/references.md; landscape/competitors.json; medical-information/srds.json; medical-information/srds.md; ...,verified,Reviewed 2026-09-24
A,trial,EVERGARTER,EVERGARTER,study name,"Clinical trial registries (study acronyms), web search",15,3,README.md; press/2022-10-18-phase-3-topline.md; press/2024-01-22-fda-approval.md,verified,Reviewed 2026-09-24
A,trial,EVERGARTER-1,EVERGARTER-1,study name,"Clinical trial registries (study acronyms), web search",4,2,README.md; press/2022-10-18-phase-3-topline.md,verified,Reviewed 2026-09-24
A,trial,EVERGARTER-2,EVERGARTER-2,study name,"Clinical trial registries (study acronyms), web search",3,1,press/2022-10-18-phase-3-topline.md,verified,Reviewed 2026-09-24
A,disease,Brennick Functional Scale,Brennick Functional Scale,disability scale,"Medical terminologies and literature, web search",16,11,README.md; claims/claims-library.json; claims/references.json; claims/references.md; disease/brennick-syndrome-overview.md; disease/disease-facts.json; ...,verified,Reviewed 2026-09-24
A,disease,Brennick syndrome,Brennick syndrome,condition,"Medical terminologies and literature, web search",161,31,README.md; access/start-form.json; access/start-form.md; claims/claims-library.json; claims/references.json; claims/references.md; ...,verified,Reviewed 2026-09-24
A,reference,Jev,Jev,"sources/README.md, claim schema section",A real product or vendor named in prose; decide whether it may stay,1,1,README.md,verified,Reviewed 2026-09-24
B,organization,Annals of Drug Safety Surveillance,Annals of Drug Safety Surveillance,"journal, meeting or preprint server",Web search; professional bodies and journals,4,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,Archives of Relapsing Neuroinflammatory Disease,Archives of Relapsing Neuroinflammatory Disease,"journal, meeting or preprint server",Web search; professional bodies and journals,8,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,Brennick Syndrome Research and Treatment,Brennick Syndrome Research and Treatment,"journal, meeting or preprint server",Web search; professional bodies and journals,14,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,BRIGHTWATER Study Group,BRIGHTWATER Study Group,study group,Web search; professional bodies and journals,2,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,BrS Preprints,BrS Preprints,"journal, meeting or preprint server",Web search; professional bodies and journals,2,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,CASTLEREAGH Study Group,CASTLEREAGH Study Group,study group,Web search; professional bodies and journals,2,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,International Brennick Syndrome Consortium,International Brennick Syndrome Consortium,disease body,Web search; professional bodies and journals,7,3,README.md; claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,International Brennick Syndrome Consortium (IBSC) Annual Meeting,International Brennick Syndrome Consortium (IBSC) Annual Meeting,"journal, meeting or preprint server",Web search; professional bodies and journals,4,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,International Brennick Syndrome Consortium Treatment Guideline Group,International Brennick Syndrome Consortium Treatment Guideline Group,study group,Web search; professional bodies and journals,2,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,Journal of Relapsing Neuroinflammatory Disease,Journal of Relapsing Neuroinflammatory Disease,"journal, meeting or preprint server",Web search; professional bodies and journals,2,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,Journal of Tavorate Pharmacology,Journal of Tavorate Pharmacology,"journal, meeting or preprint server",Web search; professional bodies and journals,14,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,organization,Neuroepidemiology Reports,Neuroepidemiology Reports,"journal, meeting or preprint server",Web search; professional bodies and journals,2,2,claims/references.json; claims/references.md,verified,Reviewed 2026-09-24
B,payer,Brightfield Employer Health EPO,Brightfield,health plan,"Health plan, PBM and insurer names; trademark registers, web search",37,4,payer/formulary-fhir.json; payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Brightfield Employer Health HDHP,Brightfield,health plan,"Health plan, PBM and insurer names; trademark registers, web search",42,3,payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Brightfield Employer Health PPO,Brightfield,health plan,"Health plan, PBM and insurer names; trademark registers, web search",36,3,payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Brightfield Rx Services,Brightfield,pharmacy benefit processor,"Health plan, PBM and insurer names; trademark registers, web search",1,1,payer/plans.json,verified,Reviewed 2026-09-24
B,payer,Cairnwell Benefits,Cairnwell,pharmacy parent,"Health plan, PBM and insurer names; trademark registers, web search",2,2,access/specialty-pharmacy-network.json; payer/plans.json,verified,Reviewed 2026-09-24
B,payer,Cairnwell Choice HMO,Cairnwell,health plan,"Health plan, PBM and insurer names; trademark registers, web search",31,3,payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Halverson Health Employee Plan,Halverson,health plan,"Health plan, PBM and insurer names; trademark registers, web search",7,4,payer/formulary-fhir.json; payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Halverson Health Plan Services,Halverson,pharmacy benefit processor,"Health plan, PBM and insurer names; trademark registers, web search",1,1,payer/plans.json,verified,Reviewed 2026-09-24
B,payer,Harborline Health Plans pharmacy benefits,Harborline,pharmacy benefit processor,"Health plan, PBM and insurer names; trademark registers, web search",1,1,payer/plans.json,verified,Reviewed 2026-09-24
B,payer,Harborline Marketplace Bronze,Harborline,health plan,"Health plan, PBM and insurer names; trademark registers, web search",38,3,payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Harborline Marketplace Gold,Harborline,health plan,"Health plan, PBM and insurer names; trademark registers, web search",26,3,payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Harborline Marketplace Silver,Harborline,health plan,"Health plan, PBM and insurer names; trademark registers, web search",44,3,payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Keystone Crest Health pharmacy benefits,Keystone Crest,pharmacy benefit processor,"Health plan, PBM and insurer names; trademark registers, web search",1,1,payer/plans.json,verified,Reviewed 2026-09-24
B,payer,Keystone Crest Medicare Advantage,Keystone Crest,health plan,"Health plan, PBM and insurer names; trademark registers, web search",55,4,payer/formulary-fhir.json; payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Lakeshore Community Care (Medicaid),Lakeshore,health plan,"Health plan, PBM and insurer names; trademark registers, web search",10,3,payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Lakeshore Community Care pharmacy benefits,Lakeshore,pharmacy benefit processor,"Health plan, PBM and insurer names; trademark registers, web search",1,1,payer/plans.json,verified,Reviewed 2026-09-24
B,payer,Northumber Health,Northumber,pharmacy parent,"Health plan, PBM and insurer names; trademark registers, web search",41,8,access/how-to-prescribe.md; access/specialty-pharmacy-network.json; payer/formulary-fhir.json; payer/plans.json; population/patients.json; test-design/ps-cases.json; ...,verified,Reviewed 2026-09-24
B,payer,Northumber Health pharmacy benefits,Northumber,pharmacy benefit processor,"Health plan, PBM and insurer names; trademark registers, web search",1,1,payer/plans.json,verified,Reviewed 2026-09-24
B,payer,Northumber Health PPO,Northumber,health plan,"Health plan, PBM and insurer names; trademark registers, web search",33,3,payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Northumber Medicare Part D,Northumber,health plan,"Health plan, PBM and insurer names; trademark registers, web search",65,4,payer/formulary-fhir.json; payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Summitline Benefits,Summitline,pharmacy benefit processor,"Health plan, PBM and insurer names; trademark registers, web search",1,1,payer/plans.json,verified,Reviewed 2026-09-24
B,payer,Summitline Employer Plan,Summitline,health plan,"Health plan, PBM and insurer names; trademark registers, web search",42,4,payer/formulary-fhir.json; payer/plans.json; population/patients.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,payer,Tallgrass Community Health (Medicaid),Tallgrass,health plan,"Health plan, PBM and insurer names; trademark registers, web search",5,2,payer/plans.json; population/patients.json,verified,Reviewed 2026-09-24
B,payer,Tallgrass Community Health pharmacy benefits,Tallgrass,pharmacy benefit processor,"Health plan, PBM and insurer names; trademark registers, web search",1,1,payer/plans.json,verified,Reviewed 2026-09-24
B,pharmacy,Cairnwell Specialty,Cairnwell,specialty pharmacy network,"Pharmacy and specialty pharmacy names; state board listings, web search",18,11,README.md; access/how-to-prescribe.md; access/specialty-pharmacy-network.json; channel/shipments.json; channel/trading-partners.json; claims/claims-library.json; ...,verified,Reviewed 2026-09-24
B,pharmacy,Halverson Health System Pharmacy,Halverson,specialty pharmacy network,"Pharmacy and specialty pharmacy names; state board listings, web search",18,12,access/how-to-prescribe.md; access/specialty-pharmacy-network.json; access/start-form.json; access/start-form.md; channel/shipments.json; channel/trading-partners.json; ...,verified,Reviewed 2026-09-24
B,pharmacy,Melbrook Specialty Pharmacy,Melbrook,specialty pharmacy network,"Pharmacy and specialty pharmacy names; state board listings, web search",28,12,access/how-to-prescribe.md; access/specialty-pharmacy-network.json; access/start-form.json; access/start-form.md; channel/shipments.json; channel/trading-partners.json; ...,verified,Reviewed 2026-09-24
B,pharmacy,Northumber Rx Specialty,Northumber,specialty pharmacy network,"Pharmacy and specialty pharmacy names; state board listings, web search",19,11,access/how-to-prescribe.md; access/specialty-pharmacy-network.json; channel/shipments.json; channel/trading-partners.json; claims/claims-library.json; claims/references.json; ...,verified,Reviewed 2026-09-24
